unique_id,ds,y,Chronos
132,2019-01-29 09:00:00,158,199.50372
132,2019-01-29 10:00:00,130,186.39081
132,2019-01-29 11:00:00,96,161.1016
132,2019-01-29 12:00:00,152,192.01062
132,2019-01-29 13:00:00,245,305.34375
132,2019-01-29 14:00:00,329,355.92212
132,2019-01-29 15:00:00,238,354.98547
132,2019-01-29 16:00:00,331,443.02936
132,2019-01-29 17:00:00,288,361.54193
132,2019-01-29 18:00:00,351,383.0846
132,2019-01-29 19:00:00,277,401.81735
132,2019-01-29 20:00:00,360,399.9441
132,2019-01-29 21:00:00,462,443.02936
132,2019-01-29 22:00:00,306,388.7044
132,2019-01-29 23:00:00,272,306.28036
132,2019-01-30 00:00:00,175,233.22266
132,2019-01-30 01:00:00,40,127.38265
132,2019-01-30 02:00:00,12,24.35257
132,2019-01-30 03:00:00,7,31.845667
132,2019-01-30 04:00:00,21,36.528854
132,2019-01-30 05:00:00,152,119.88956
132,2019-01-30 06:00:00,211,184.51753
132,2019-01-30 07:00:00,198,215.42656
132,2019-01-30 08:00:00,167,197.19458
132,2019-01-30 09:00:00,173,162.94012
132,2019-01-30 10:00:00,123,165.71751
132,2019-01-30 11:00:00,76,128.68567
132,2019-01-30 12:00:00,185,174.97546
132,2019-01-30 13:00:00,214,295.32898
132,2019-01-30 14:00:00,306,324.02866
132,2019-01-30 15:00:00,246,336.06403
132,2019-01-30 16:00:00,265,416.60828
132,2019-01-30 17:00:00,135,361.98633
132,2019-01-30 18:00:00,364,367.54108
132,2019-01-30 19:00:00,466,381.428
132,2019-01-30 20:00:00,342,388.83438
132,2019-01-30 21:00:00,517,427.71783
132,2019-01-30 22:00:00,377,377.72482
132,2019-01-30 23:00:00,381,301.80957
132,2019-01-31 00:00:00,254,233.30063
132,2019-01-31 01:00:00,95,116.650314
132,2019-01-31 02:00:00,23,23.144907
132,2019-01-31 03:00:00,23,29.62548
132,2019-01-31 04:00:00,26,37.03185
132,2019-01-31 05:00:00,116,126.834076
132,2019-01-31 06:00:00,209,197.19458
132,2019-01-31 07:00:00,190,220.33948
132,2019-01-31 08:00:00,169,197.19458
132,2019-01-31 09:00:00,134,166.64331
132,2019-01-31 10:00:00,173,181.45605
132,2019-01-31 11:00:00,83,127.759865
132,2019-01-31 12:00:00,181,172.19809
132,2019-01-31 13:00:00,252,297.18057
132,2019-01-31 14:00:00,367,330.50922
132,2019-01-31 15:00:00,337,337.9156
132,2019-01-31 16:00:00,310,429.56943
132,2019-01-31 17:00:00,355,351.80252
132,2019-01-31 18:00:00,441,377.72482
132,2019-01-31 19:00:00,337,390.68597
132,2019-01-31 20:00:00,369,408.27612
132,2019-01-31 21:00:00,411,448.08533
132,2019-01-31 22:00:00,453,402.7213
132,2019-01-31 23:00:00,308,303.66113
138,2019-01-25 00:00:00,469,276.52252
138,2019-01-25 01:00:00,292,26.378796
138,2019-01-25 02:00:00,62,1.8192306
138,2019-01-25 03:00:00,23,1.8192306
138,2019-01-25 04:00:00,4,3.6384578
138,2019-01-25 05:00:00,4,3.6384578
138,2019-01-25 06:00:00,8,6.367298
138,2019-01-25 07:00:00,95,63.67295
138,2019-01-25 08:00:00,139,144.62856
138,2019-01-25 09:00:00,197,211.03035
138,2019-01-25 10:00:00,392,271.06485
138,2019-01-25 11:00:00,256,320.18396
138,2019-01-25 12:00:00,246,314.7263
138,2019-01-25 13:00:00,352,312.90707
138,2019-01-25 14:00:00,444,317.45514
138,2019-01-25 15:00:00,372,384.76654
138,2019-01-25 16:00:00,518,401.1396
138,2019-01-25 17:00:00,441,402.9588
138,2019-01-25 18:00:00,414,421.15106
138,2019-01-25 19:00:00,425,418.42224
138,2019-01-25 20:00:00,517,436.6145
138,2019-01-25 21:00:00,421,435.7049
138,2019-01-25 22:00:00,367,440.25293
138,2019-01-25 23:00:00,369,383.85693
138,2019-01-26 00:00:00,125,219.21687
138,2019-01-26 01:00:00,83,13.644207
138,2019-01-26 02:00:00,12,2.7288442
138,2019-01-26 03:00:00,3,1.8192306
138,2019-01-26 04:00:00,3,1.8192306
138,2019-01-26 05:00:00,4,3.6384578
138,2019-01-26 06:00:00,5,5.457685
138,2019-01-26 07:00:00,12,9.096139
138,2019-01-26 08:00:00,69,58.21527
138,2019-01-26 09:00:00,115,164.64006
138,2019-01-26 10:00:00,274,242.86682
138,2019-01-26 11:00:00,131,181.0131
138,2019-01-26 12:00:00,261,277.43213
138,2019-01-26 13:00:00,143,202.84383
138,2019-01-26 14:00:00,268,271.06485
138,2019-01-26 15:00:00,366,290.16675
138,2019-01-26 16:00:00,198,276.52252
138,2019-01-26 17:00:00,219,244.68605
138,2019-01-26 18:00:00,263,237.40915
138,2019-01-26 19:00:00,164,221.0361
138,2019-01-26 20:00:00,168,177.37463
138,2019-01-26 21:00:00,181,150.08624
138,2019-01-26 22:00:00,88,133.7132
138,2019-01-26 23:00:00,159,102.78634
138,2019-01-27 00:00:00,12,61.853725
138,2019-01-27 01:00:00,11,3.6384578
138,2019-01-27 02:00:00,0,3.4665118e-06
138,2019-01-27 03:00:00,0,3.4665118e-06
138,2019-01-27 04:00:00,1,1.8192306
138,2019-01-27 05:00:00,2,2.7288442
138,2019-01-27 06:00:00,4,3.6384578
138,2019-01-27 07:00:00,12,9.096139
138,2019-01-27 08:00:00,79,31.83648
138,2019-01-27 09:00:00,111,75.49793
138,2019-01-27 10:00:00,245,187.38039
138,2019-01-27 11:00:00,184,181.92271
138,2019-01-27 12:00:00,323,258.33026
138,2019-01-27 13:00:00,368,217.39764
138,2019-01-27 14:00:00,312,281.98022
138,2019-01-27 15:00:00,461,333.8282
138,2019-01-27 16:00:00,535,330.7868
138,2019-01-27 17:00:00,506,319.00537
138,2019-01-27 18:00:00,601,326.2555
138,2019-01-27 19:00:00,614,310.849
138,2019-01-27 20:00:00,501,292.7237
138,2019-01-27 21:00:00,582,271.87958
138,2019-01-27 22:00:00,436,232.91017
138,2019-01-27 23:00:00,344,199.37836
138,2019-01-28 00:00:00,359,119.627014
138,2019-01-28 01:00:00,60,6.3438597
138,2019-01-28 02:00:00,0,3.4537513e-06
138,2019-01-28 03:00:00,0,3.4537513e-06
138,2019-01-28 04:00:00,2,1.812534
138,2019-01-28 05:00:00,6,3.6250644
138,2019-01-28 06:00:00,25,5.437595
138,2019-01-28 07:00:00,293,71.594955
138,2019-01-28 08:00:00,453,142.28365
138,2019-01-28 09:00:00,365,233.81644
138,2019-01-28 10:00:00,468,267.34827
138,2019-01-28 11:00:00,382,294.5362
138,2019-01-28 12:00:00,424,317.19284
138,2019-01-28 13:00:00,377,309.94272
138,2019-01-28 14:00:00,329,315.3803
138,2019-01-28 15:00:00,565,369.75623
138,2019-01-28 16:00:00,445,386.069
138,2019-01-28 17:00:00,356,364.31863
138,2019-01-28 18:00:00,477,372.47504
138,2019-01-28 19:00:00,357,415.0695
138,2019-01-28 20:00:00,404,414.1632
138,2019-01-28 21:00:00,401,390.60034
138,2019-01-28 22:00:00,290,398.7567
138,2019-01-28 23:00:00,287,386.06897
138,2019-01-29 00:00:00,146,261.91064
138,2019-01-29 01:00:00,31,43.500736
138,2019-01-29 02:00:00,20,1.812534
138,2019-01-29 03:00:00,18,3.4537513e-06
138,2019-01-29 04:00:00,11,1.812534
138,2019-01-29 05:00:00,5,3.6250644
138,2019-01-29 06:00:00,6,5.437595
138,2019-01-29 07:00:00,183,156.78389
138,2019-01-29 08:00:00,320,241.97282
138,2019-01-29 09:00:00,404,326.2555
138,2019-01-29 10:00:00,385,321.72418
138,2019-01-29 11:00:00,265,341.662
138,2019-01-29 12:00:00,379,348.9121
138,2019-01-29 13:00:00,286,345.28705
138,2019-01-29 14:00:00,322,319.91162
138,2019-01-29 15:00:00,367,395.13165
138,2019-01-29 16:00:00,432,399.66296
138,2019-01-29 17:00:00,323,374.28754
138,2019-01-29 18:00:00,372,402.38177
138,2019-01-29 19:00:00,343,404.1943
138,2019-01-29 20:00:00,296,415.06946
138,2019-01-29 21:00:00,361,405.10056
138,2019-01-29 22:00:00,318,394.2254
138,2019-01-29 23:00:00,186,384.25647
138,2019-01-30 00:00:00,114,254.66052
138,2019-01-30 01:00:00,2,71.594955
138,2019-01-30 02:00:00,0,2.718799
138,2019-01-30 03:00:00,0,3.4537513e-06
138,2019-01-30 04:00:00,2,1.812534
138,2019-01-30 05:00:00,1,3.6250644
138,2019-01-30 06:00:00,15,5.437595
138,2019-01-30 07:00:00,145,159.50269
138,2019-01-30 08:00:00,203,230.58618
138,2019-01-30 09:00:00,258,320.70032
138,2019-01-30 10:00:00,362,312.74908
138,2019-01-30 11:00:00,220,337.4863
138,2019-01-30 12:00:00,346,339.25323
138,2019-01-30 13:00:00,240,333.9524
138,2019-01-30 14:00:00,284,319.81686
138,2019-01-30 15:00:00,205,382.5434
138,2019-01-30 16:00:00,120,395.79544
138,2019-01-30 17:00:00,221,371.05823
138,2019-01-30 18:00:00,337,398.44586
138,2019-01-30 19:00:00,270,407.28058
138,2019-01-30 20:00:00,394,407.28058
138,2019-01-30 21:00:00,379,400.21277
138,2019-01-30 22:00:00,300,393.14502
138,2019-01-30 23:00:00,391,375.4756
138,2019-01-31 00:00:00,296,250.90604
138,2019-01-31 01:00:00,87,56.54221
138,2019-01-31 02:00:00,2,1.7669473
138,2019-01-31 03:00:00,1,3.3668869e-06
138,2019-01-31 04:00:00,1,1.7669473
138,2019-01-31 05:00:00,1,3.5338912
138,2019-01-31 06:00:00,14,5.300835
138,2019-01-31 07:00:00,130,153.72412
138,2019-01-31 08:00:00,191,227.93576
138,2019-01-31 09:00:00,210,301.26395
138,2019-01-31 10:00:00,304,296.8466
138,2019-01-31 11:00:00,307,321.5838
138,2019-01-31 12:00:00,284,318.9334
138,2019-01-31 13:00:00,340,318.9334
138,2019-01-31 14:00:00,305,316.283
138,2019-01-31 15:00:00,404,379.89294
138,2019-01-31 16:00:00,384,392.26154
138,2019-01-31 17:00:00,444,371.05823
138,2019-01-31 18:00:00,540,385.1938
138,2019-01-31 19:00:00,502,404.6302
138,2019-01-31 20:00:00,544,406.39713
138,2019-01-31 21:00:00,378,405.51367
138,2019-01-31 22:00:00,493,388.72766
138,2019-01-31 23:00:00,321,364.8739
141,2019-01-25 00:00:00,89,100.43567
141,2019-01-25 01:00:00,57,66.00058
141,2019-01-25 02:00:00,41,49.739567
141,2019-01-25 03:00:00,41,45.91345
141,2019-01-25 04:00:00,68,52.60916
